Wells ,Condition
A1-D9,800 molecules IS added
A1-6,0.8 molecules CLas added
A7-12,1.5 molecules CLas added
B1-6,3.1 molecules CLas added
B7-12,6.2 molecules CLas added
C1-3,12.5 molecules CLas added
C4-6,25 molecules CLas added
C7-9,50 molecules CLas added
C10-12,100 molecules CLas added
D1-3,200 molecules CLas added
D4-6,800 molecules CLas added
D7-9,4000 molecules CLas added
E1-H9,21 molecules IS added
E1-6,0.8 molecules CLas added
E7-12,1.5 molecules CLas added
F1-6,3.1 molecules CLas added
F7-12,6.2 molecules CLas added
G1-3,12.5 molecules CLas added
G4-6,25 molecules CLas added
G7-9,50 molecules CLas added
G10-12,100 molecules CLas added
H1-3,200 molecules CLas added
H4-6,800 molecules CLas added
H7-9,4000 molecules CLas added
