,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-16.7719764176154,33.1966399021826,37.5178844735142,26.6058431099314,21.0979688608813,15.1847190586022,-4.97409834087193,-13.6115647989595,-2.65775593773878,-13.934097110543,-0.845090858262211,-12.2857710846642,4.70523932214337,29.2705736376315,24.6493043361465,7.39395564908864,0.194361100474907,10.3028849974448,-20.3841923467758,-20.899857233077,-18.3622303603142,-23.7364551548553,-14.0114152994361,-27.8390786540185,-13.5385266595013,-11.8559609487443,-11.3645919142705,-14.7217634596173,3.99433389799015,-16.0170269996556,-34.8344779304175,-33.0167871987742,11.8557312547337,-19.8969113355333,-22.8265728253909,5.05300906718867,-7.04138030945342,-1.71221747413983,-1.15043809036342,-4.50034937846931,-6.27830418864778,-0.566254240376566,-17.1180462455786,-18.7677836492458,-17.2633096369427,-12.9511894736902,-17.4445889303597,-24.8170947087388,-22.4303881519545,-16.7189199093687,-1.67713265526163,-16.4310008996808,-21.2344100595369,15.2449118444915,-9.76537627319112,-20.7778533010796,-9.72292448830876,-4.0297731262558,-1.989051698401,-8.28835188962967,4.4484307767666,21.815836693695,7.35532753709685,3.87019975200701,5.52825488866483,-2.07898550516893,-16.1701762798989,-14.9565296700193,-8.21837180333114,-9.34437239690806,-3.89883093192157,-7.74555454756046,22.6997866066981,33.9668147583589,27.3757768009423,20.4859807897269,33.2626144330952,25.0974246686296,-16.2299929707178,-17.4543231202879,-13.2968533520229,-7.38609556017309,-4.51677270056098,-23.5200760011862,3.05473310960315,4.26549858186081,0.183189477494579,-8.6777777760376,-5.09040699720026,-4.91197954285462,-18.1386635113977,-20.4249855352482,-27.792625506283,-8.01730629891836,15.3668970572589,-17.4234617845559
,2,-6.41370639287015,21.4538447797654,23.5912143849419,21.4718585859696,8.67917290246351,7.97960009559165,-2.22024688465262,-11.6970844860475,-4.40629328400837,-9.41300032864228,-1.38483081201048,-3.44652191947125,9.57513711130741,25.3431439641708,23.7243442573131,5.91804348266987,6.30396460947259,12.6745419178783,-6.98541325172801,-9.2945171148499,-10.0613194854109,-15.0426931095908,-5.04296317776743,-14.2956003279082,-4.94504008763124,0.350529493257909,-3.25444155622199,-10.0545581038305,12.6153148052408,-12.4254634768527,-31.434486416113,-27.4694698891153,13.6236036059659,-14.9755979327433,-15.7460763082508,9.12423306981646,-2.67733264442313,1.31425053244902,-0.234870303271691,-4.84053174201472,-7.87083195511332,-3.22068663472464,-13.7331580998139,-17.7395932700529,-10.523789638587,-11.8244788064649,-13.1012149292469,-18.4649211368301,-10.8891050889138,-11.6583928429236,-8.7236669410504,-10.2779013853765,-13.5554340750555,25.0088441109697,-7.18109869122463,-15.105605070783,-6.07813254579514,0.570981020402996,0.423384515082944,-5.25017448857079,5.43105504327696,17.2442544111327,5.23472414136131,1.34023887819467,4.11332889250343,-0.0497162929423212,-8.48421788798942,-9.14159012786831,-2.73656791533267,-2.57402530314175,-4.33364747699852,-1.21696819116278,4.13059688516569,16.6511793286277,16.5410194562601,13.002171291173,19.6288727606802,11.2786436347119,-11.5203477356636,-16.9920133398346,-6.89940734825359,-3.95214911434005,-5.20481478823194,-13.433130163146,1.53954554113943,-0.81357126651892,2.24625896496173,-8.29242155272868,-2.60479232770103,-4.95185795770567,-22.5127548207879,-17.7772879398995,-17.292144494746,-8.51221009923893,21.213534453268,-10.1609584577641
,3,-3.65089059176944,8.63534886512025,10.5928089956446,5.92099966521573,0.505186897779822,5.36494574584094,-1.89409683390704,-5.2063801217364,-4.59950782887836,-2.05836792612945,0.664857998128809,-0.568560932882974,8.19807952936344,9.71385086258169,6.35296581433522,2.50188291460017,-0.373629777194765,7.3038214969929,-5.83445231226324,-6.64973983937989,-3.66427409883181,-4.82956804322112,-3.66897656025367,-3.87301619847858,-4.60185538445603,1.84979854045696,0.938137437569367,-10.9449751535808,14.5941979215763,-12.1939933954613,-22.8380411521271,-19.071555016485,16.7733630299617,-12.5468847418524,-14.6853620772818,15.3757634400476,-6.26746874960008,-1.98199265225458,1.17434594557881,-6.94850875395286,-5.17151393276254,-1.27234966966444,-10.4777854965341,-10.6924479904696,-5.64273957310434,-10.8184718130428,-12.2871202688148,-14.2196556442914,-5.98551553491006,-10.1373090906241,-4.69283323400896,-8.0455440578462,-12.3454122344374,26.7132449105388,-6.66366760042229,-13.9618970400807,-3.43688615911879,-5.71468919762674,0.709750010045809,-2.44270016774544,0.698588533236943,8.33291761577675,1.42917730620729,1.63098754579596,5.18905839746913,1.49825508100184,-4.12336713050536,-8.49609180003336,0.421041585921103,-0.515833807616218,-1.1076163306011,-1.6021938190579,0.586593335407088,4.33414480635702,4.3117162915014,1.55026265467359,3.66219572774526,1.38550579167941,-11.734024689807,-14.6008151174383,-9.1416173660341,0.207025230260115,-7.03729420226,-11.6517561606529,0.160058370466231,0.459541663875825,-1.1366926893179,-6.58755789709949,-1.59145789125114,-2.98120765666044,-12.3165931023464,-15.6300147110969,-15.4900059493275,-4.56930118843093,23.4816342097797,-12.892241894735
,4,0.388455132615491,5.10941548160827,0.56966362476669,4.47044311136051,-2.51020838223531,-0.28854531779325,1.5224536425826,-2.30356921539897,-0.578225969597042,1.33909868447654,1.70180876610357,2.88667186277462,1.38216982064614,3.68327365248069,1.67630283496874,0.251968167135601,2.05296377667082,0.89570276544373,2.77886216609841,-4.77006726389254,-0.657627788971695,-0.589731679870056,0.625580553606142,-0.42191810533177,0.327242955411748,1.49724139539694,1.344447269179,-7.08884444361092,19.4589305621066,-6.07407090795414,-18.7052294025575,-13.7127653054886,22.3644840399511,-12.0787982785023,-13.3370211345036,20.5010179200603,-4.0926886939742,-1.6251968117208,1.2429740109983,-2.48836694907459,-2.74959726610632,-5.02003078440111,-6.70003909794059,-9.33379288446076,-6.66126627637732,-9.8222973968127,-13.302953132415,-9.23412448938143,-9.33619906008289,-14.6457672492293,-5.00492452986873,-9.25025847090319,-8.87304120845829,35.6176598807233,-4.17801912115374,-8.18810096547986,-8.95274361458496,-0.517580210038886,-2.79875933888707,-4.33481903449501,0.868710253595509,4.81404512475319,-0.86579769609807,5.20767158665149,0.17106841267514,3.30045692936255,0.914108230592319,-1.34029443601457,0.649849661123426,-0.693990325014511,-1.09779311705734,1.01671767754488,-1.53808478099791,1.52432682916969,-2.93254789752382,-0.438716925485096,-0.819465883846078,1.47202615796868,-9.33713373161299,-10.028982770446,-7.92408957689895,-5.29751879969035,-8.01845151763564,-3.90880779587133,-1.48488485705047,0.817590077279419,-2.46314419621467,-1.78528217084704,-2.57151896067171,-2.1412339024323,-10.6089808048141,-12.6821901857938,-12.1727974418814,-6.35807001561716,31.3088456130322,-6.38964728911469
,5,8.11092989214194,2.0089507459852,1.09454015016991,1.8524602643347,3.95455413515447,-1.70492612849557,2.29566835360311,3.73438337926518,4.26453167101272,0.964520594749047,1.29777060512242,3.15844814772981,1.32528796156839,2.16865543340282,4.00911267886795,6.13212527957012,4.77502705893539,0.85373898613625,1.46964159693152,4.56364395820765,4.51999817089336,4.84168142572253,3.25816087169642,3.41391434618208,3.26558716170848,0.985161895586771,0.60858985982577,-6.92499809728406,25.2734071051541,-10.0195414915088,-11.4341071893541,-13.6137429765022,25.1578503225282,-7.62109717606836,-7.955796442272,26.6650503905462,-7.91247790864509,-3.72110733329828,-2.17204640888531,-7.45175143356664,-4.76922369996873,-5.89630978390187,-8.53698639813592,-8.91809045685568,-1.47947286852695,-5.95105418452795,-4.3601798775735,-8.70886404307066,-5.90850403757031,-8.59003845617326,-2.88365991946193,-3.29402863055338,-8.18493725974531,44.6707489891505,-5.96312796506072,-1.96748781013048,-2.22478613707244,-0.649294178994751,1.19558827800802,3.55477492070168,0.595721728883291,-2.60154364256778,-0.627666807106834,-3.50380327912944,-1.73101986649635,1.94088112461031,1.07386894974934,0.821268914161465,-0.844130906666123,2.42749280577937,3.19556902236582,0.246731836512936,-0.574736916616985,2.11864408389829,0.94724941869481,-3.17705949229548,0.813427759359911,-0.569419313579147,-3.79219888744638,-3.9498693997225,-1.6096586464264,-0.17146121414271,-3.65512771066597,-2.71559564547988,0.72059305916946,-1.06691226134581,-0.830952373301443,-4.19853332341199,-4.02619364280599,-1.08192699848678,-8.9551498389319,-15.1982761301069,-9.55176111971059,-3.62819648965251,31.3256504336377,-4.78654362740917
,6,6.8314018067872,3.0545430696011,-2.08649705092876,5.66269169034422,7.54415848360031,4.67985638186838,9.45807482595819,8.15791903850368,6.28388536369403,6.4116938399352,5.6042069609407,3.64050018899388,1.99375270138216,-0.722503651510578,1.21881912073559,1.36378861368894,5.36609580164986,3.46276188228194,6.91465081916385,9.37702312142619,9.19560967678535,6.88876670638683,3.57512077209685,6.17839539173656,4.98992864179172,5.56256727317577,5.25141650626574,-4.72768787042878,33.6539335517605,-8.26862656146795,-8.06126792752821,-6.39451665005117,33.4754385336241,-3.67366580576436,-5.47643483085585,31.3806092106188,-3.86549553732903,-6.57901787090668,-3.59654736371749,-3.19487378513395,-5.06141266750046,-0.89021530989794,-8.68096583530723,-9.09090879175528,-2.60050865729545,-5.90213718849873,-4.97343797334634,-3.51232601890251,-6.74506983389756,-3.46363988680014,-6.32245910332313,-4.1996238481006,-4.46186864636138,50.7752499530666,-3.31086564957377,0.792911663281757,-2.89973971513109,-1.30098315261012,-0.987397707941909,4.42568449274677,0.635589820615223,0.256474588860328,-0.909102533489659,-1.30530261006015,0.790492836084468,2.86082917593512,-0.740186834031647,3.15123050962166,1.26140387000169,-0.726978677230818,0.586281809287811,4.18231757972626,0.42594395291826,-3.26376609778663,1.70353879350796,-2.47057167316552,-0.398422068481068,-0.295174178887464,-3.75491470797078,-1.97562538731745,-0.467905525111291,-0.472579406022305,0.655022408217974,-3.72339539312907,-2.73802358226294,-6.37786205741804,-5.82238520824149,-3.62535701941124,0.534848698409405,-2.83424821416611,-10.354163684171,-15.1826446551813,-0.831462847009334,-3.66778478905189,47.6828901733802,-6.67232760662682
,7,-1.87603079895234,-6.52306377906689,-4.81492438213536,-0.147823563180282,5.1390934643232,-2.83416289186198,0.757428896371948,5.64080665300298,7.64315641600933,7.20141617977333,6.72666701900289,5.41908676925323,0.42364884023209,0.358531771196795,-0.343341805830732,0.00265093319012522,1.9632928022138,-0.736452711573747,5.70429529304147,4.8775941995691,3.08355696275385,3.97110288026988,6.22401053239719,6.73930890255315,6.60542539566131,2.36890899343689,4.65600669387777,-5.01674411364729,35.3768855442509,-3.43880670821954,-9.30860669840376,-4.83632880926098,33.0352488168342,-1.88344091186946,-5.21762862658397,34.9907536969095,-1.36355941403872,0.919564369174168,-3.9253499845081,-6.76365624339405,-3.50328739257475,-3.30686682353735,-2.22167372023478,-6.8390065682056,-1.75955941027223,0.972676999724627,-3.51814075465745,-1.55447080863587,-5.40768469744262,-0.263479070417816,-2.86565205680563,-0.842281766183987,-3.18548145402974,50.0013321899983,-2.32023789436153,2.49280876537068,5.61216911799283,1.77813500377033,1.08426179757771,2.47278206208875,1.30426105510924,0.820701063679735,3.0796756454215,-0.226230427852897,2.91405957347206,3.89848671808204,2.12842219444155,-0.721005266525935,2.77109666543038,0.807592729758198,3.75851079440918,0.427867899183184,1.44353474967511,1.07372185139775,0.595476084031816,-0.119675677860414,-1.04537388615836,-1.41995676389843,-2.33381749118826,-0.163918967612517,-0.288649254917345,-1.30133090599793,-2.16011448253357,-4.62618232765726,0.0355340511196118,-3.43081064518128,1.54212255000903,-0.706754244630702,1.18727131736205,-0.962336132563451,-5.83895062708916,-8.04891807490958,-0.163609648312558,-2.93186451764814,53.2403971758622,-6.68101453315421
,8,4.93861642589127,-3.39322328226535,-2.0550180000223,-6.93610484604278,2.32770801436072,2.44992776417394,3.49619941192532,9.20703554562942,7.63812455079596,10.3709094474016,3.0597194718348,2.97071490244252,0.258433466496172,-3.13265275910953,-0.67669493259109,-2.284034073763,0.742347222765602,1.78543013029775,7.74557552929173,7.22155428824226,8.63936079612677,8.30483283064359,5.76839924069964,2.51335992942404,7.84860162057566,2.11935850760619,2.76753401030101,-1.83899492384126,40.5963351285145,0.533305045016732,-4.10698263395216,-3.03725953336243,42.5444397752162,-1.54550877103429,-2.17904134433502,39.5207294746251,-2.17801035988941,-0.50268131427265,-4.65154579586488,-0.231686851886479,0.118507229513853,0.418110857051488,-2.21183548650333,-1.32505741035129,-3.46861155841589,-3.82483131997333,-5.16879924443629,-1.73342487507216,-6.373638126895,-7.45662876336201,-8.5410986228294,-10.2243650116393,-8.30735662890856,49.4938424242409,-2.94004739408501,1.15648180943344,-1.40421060751032,1.46027552790429,2.31546136978795,2.3713818636088,0.915051988338291,3.79196167503233,1.43169879648804,-3.21432860139248,0.411897521271385,-4.28955155164431,-0.782764647089607,0.29193648812452,-0.893560480104043,-2.82102980898389,-2.32065745654745,1.17554550900923,1.01523990639726,0.359361477812399,2.85334760497835,0.252084003363052,-0.108389723518485,0.223835727271307,2.69048150921026,5.0406425909855,2.39601615499851,1.42469806742338,0.644896766351394,-2.16906392620422,-3.68556541417502,-0.0713454003744118,-2.20022120051908,-2.63120966485394,1.87078458885071,1.06978620206519,-6.61366316457998,-9.01959298468728,-1.76732000160018,2.15863409782469,53.4435292848816,-3.16266086338828
,9,0.115844677744462,-6.95038662699062,-1.78656770188672,-4.37777089969677,-3.57193586409994,-4.1998361688029,-5.54842126397443,0.446329280906411,-4.25912218495296,-1.54132965782901,-11.7952892709854,-9.05192770937538,-6.30101635262918,-8.07975000511669,-6.4979469036748,-3.97371303014506,-9.03145754465595,-6.22222551964387,-4.90155916441927,-0.502197669646648,-1.8323169935411,-1.55962008632923,-5.0096844980053,-0.231285081916667,-4.54908655762119,-3.77525088505536,-1.6545270159454,-6.79387060036697,37.0556468686818,-6.95094731128347,-5.44614692513096,-5.38120041049024,39.1266887353704,0.156451017307063,-1.81506000183572,43.8423141540788,-3.19077873695642,-1.23975651407818,-7.86476303227255,-1.70818936696742,-1.52041725293657,-3.65195799540152,-0.492818250785149,-2.60172086936564,2.47042842807195,-3.14780016204395,0.568822156809802,0.849943206480475,-4.7301503272538,2.14094512618613,-0.628397735589715,-0.368017990213957,-1.76037445006523,55.2820383968847,5.26785689543385,1.83075336750153,1.43257161783458,5.26823460019114,-4.52852512215441,-4.49804397891103,1.00599809304413,-7.8619482507911,-1.93911750262669,0.353749052570492,-2.17688063737432,-1.81655916510135,-2.85685025572684,-1.89449773924434,-3.62722538613798,-1.97431033230396,-1.88311437240509,-2.94430386571139,-3.53821624865941,-3.54059853072067,0.33980109471031,0.296318403733949,-0.348987539165591,0.457076330975269,5.14146549928455,3.02387459262309,2.22123133361356,0.985129928969855,-2.76857876665872,-6.25194172218471,-0.728382469561893,1.6481798161135,-0.515534601526724,-4.69096052170062,-6.05548398043902,-1.24751640994964,-2.86075311216155,-8.90701450851066,-0.359503204519569,-1.73521992523592,57.1093142011537,-0.538634327671843
,10,7.32156649105855,2.83100622817074,2.93000621521469,-0.952259276446512,3.45039687708368,-3.62431353741385,0.96339361797709,6.48326738013157,1.30858459093542,3.5241745729154,1.37937612339056,0.35631463909931,-3.01944207512042,-6.96070921235741,-1.50007720567055,3.24466965816009,4.60871415202473,0.0670403683725453,1.46879395672795,10.3773536277422,10.1537897832186,3.71553356478671,6.02615992857454,10.260475891595,8.44389725219708,5.3622283754944,0.235680866471739,-0.898255844149844,45.6313958263286,0.0438882926732731,4.19659760357126,-2.99478036345545,45.7255377929941,5.02144531639897,2.69365042224808,47.056677616843,3.34491579049609,-1.3412521949972,0.445717475407037,-1.05192641456051,-2.1310234069224,-2.25106417522284,0.339415566660136,-0.192026959814484,-2.71819203402811,-1.93713544583443,-1.48606661654367,-1.53287048376978,-1.23167697736972,1.46937153789258,0.619094842613322,3.53251801787565,2.86696429473204,62.3476289075857,4.88947652708384,3.80837622614035,6.05421992128822,-0.159757191700919,3.04828336617675,3.03061078076917,1.86119484451638,0.173951387631405,1.38143046825735,2.2800092696034,3.61745925566265,-0.229228271386546,5.90972796294545,3.26950655330029,1.63311279251047,3.44507567899791,3.83763271067255,5.6778111670983,2.9493056257802,0.0936578647915667,4.48663386402495,1.85773240312665,1.3316757591806,0.344979066289852,5.37269085639127,2.6712176962219,3.79209853248176,3.61466829891606,6.61877448768155,3.36697048910446,1.61528383651648,1.57580824718207,1.91472845975204,0.421101594193715,-0.270944713566678,1.59380616346425,0.33131101297522,-9.37161179881332,1.45442562980588,-2.80447740953514,60.8385593962253,0.949736139783909
