,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C04,Cy5,,Unkn,,,24.2208086847966,24.2208086847966,0,NaN,NaN,NaN,0,58,
,C05,Cy5,,Unkn,,,23.96973802647,23.96973802647,0,NaN,NaN,NaN,0,58,
,C06,Cy5,,Unkn,,,24.2033012237866,24.2033012237866,0,NaN,NaN,NaN,0,58,
,C07,Cy5,,Unkn,,,24.1005888654951,24.1005888654951,0,NaN,NaN,NaN,0,58,
,C08,Cy5,,Unkn,,,23.8041696500061,23.8041696500061,0,NaN,NaN,NaN,0,58,
,C09,Cy5,,Unkn,,,23.9540407372338,23.9540407372338,0,NaN,NaN,NaN,0,58,
,C10,Cy5,,Unkn,,,24.1657004048234,24.1657004048234,0,NaN,NaN,NaN,0,58,
,C11,Cy5,,Unkn,,,24.0700420938991,24.0700420938991,0,NaN,NaN,NaN,0,58,
,C12,Cy5,,Unkn,,,24.2890151435282,24.2890151435282,0,NaN,NaN,NaN,0,58,
,D01,Cy5,,Unkn,,,24.2046158860019,24.2046158860019,0,NaN,NaN,NaN,0,58,
,D02,Cy5,,Unkn,,,23.7405240459854,23.7405240459854,0,NaN,NaN,NaN,0,58,
,D03,Cy5,,Unkn,,,23.6729343985644,23.6729343985644,0,NaN,NaN,NaN,0,58,
,D04,Cy5,,Unkn,,,23.7037764353984,23.7037764353984,0,NaN,NaN,NaN,0,58,
,D05,Cy5,,Unkn,,,23.7807028663301,23.7807028663301,0,NaN,NaN,NaN,0,58,
,D06,Cy5,,Unkn,,,23.6509194637493,23.6509194637493,0,NaN,NaN,NaN,0,58,
,D07,Cy5,,Unkn,,,23.7650074218795,23.7650074218795,0,NaN,NaN,NaN,0,58,
,D08,Cy5,,Unkn,,,23.5926062442472,23.5926062442472,0,NaN,NaN,NaN,0,58,
,D09,Cy5,,Unkn,,,24.0477506393862,24.0477506393862,0,NaN,NaN,NaN,0,58,
,D10,Cy5,,Unkn,,,24.3896453585508,24.3896453585508,0,NaN,NaN,NaN,0,58,
