,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C04,Cy5,,Unkn,,,23.538116999184,23.538116999184,0,NaN,NaN,NaN,0,58,
,C05,Cy5,,Unkn,,,23.7351516225262,23.7351516225262,0,NaN,NaN,NaN,0,58,
,C06,Cy5,,Unkn,,,23.419304289482,23.419304289482,0,NaN,NaN,NaN,0,58,
,C07,Cy5,,Unkn,,,23.8142245103426,23.8142245103426,0,NaN,NaN,NaN,0,58,
,C08,Cy5,,Unkn,,,23.1916419083031,23.1916419083031,0,NaN,NaN,NaN,0,58,
,C09,Cy5,,Unkn,,,23.7347619767459,23.7347619767459,0,NaN,NaN,NaN,0,58,
,C10,Cy5,,Unkn,,,23.6382036861558,23.6382036861558,0,NaN,NaN,NaN,0,58,
,C11,Cy5,,Unkn,,,23.9145054062856,23.9145054062856,0,NaN,NaN,NaN,0,58,
,C12,Cy5,,Unkn,,,23.7166380358689,23.7166380358689,0,NaN,NaN,NaN,0,58,
,D01,Cy5,,Unkn,,,23.3117323305566,23.3117323305566,0,NaN,NaN,NaN,0,58,
,D02,Cy5,,Unkn,,,23.466325967414,23.466325967414,0,NaN,NaN,NaN,0,58,
,D03,Cy5,,Unkn,,,23.6398244666092,23.6398244666092,0,NaN,NaN,NaN,0,58,
,D04,Cy5,,Unkn,,,23.7899114036539,23.7899114036539,0,NaN,NaN,NaN,0,58,
,D05,Cy5,,Unkn,,,22.8202637739091,22.8202637739091,0,NaN,NaN,NaN,0,58,
,D06,Cy5,,Unkn,,,23.5246135608976,23.5246135608976,0,NaN,NaN,NaN,0,58,
,D07,Cy5,,Unkn,,,23.6961676483315,23.6961676483315,0,NaN,NaN,NaN,0,58,
,D08,Cy5,,Unkn,,,24.0935860942785,24.0935860942785,0,NaN,NaN,NaN,0,58,
,D09,Cy5,,Unkn,,,23.4682515182501,23.4682515182501,0,NaN,NaN,NaN,0,58,
,D10,Cy5,,Unkn,,,22.7525597581105,22.7525597581105,0,NaN,NaN,NaN,0,58,
