,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C04,Cy5,,Unkn,,,23.9326627770677,23.9326627770677,0,NaN,NaN,NaN,0,58,
,C05,Cy5,,Unkn,,,23.8544648878428,23.8544648878428,0,NaN,NaN,NaN,0,58,
,C06,Cy5,,Unkn,,,24.0046882937427,24.0046882937427,0,NaN,NaN,NaN,0,58,
,C07,Cy5,,Unkn,,,24.3349719109614,24.3349719109614,0,NaN,NaN,NaN,0,58,
,C08,Cy5,,Unkn,,,24.2759815549442,24.2759815549442,0,NaN,NaN,NaN,0,58,
,C09,Cy5,,Unkn,,,24.0142753473932,24.0142753473932,0,NaN,NaN,NaN,0,58,
,C10,Cy5,,Unkn,,,24.1331755604405,24.1331755604405,0,NaN,NaN,NaN,0,58,
,C11,Cy5,,Unkn,,,24.0028758268933,24.0028758268933,0,NaN,NaN,NaN,0,58,
,C12,Cy5,,Unkn,,,24.1087167963811,24.1087167963811,0,NaN,NaN,NaN,0,58,
,D01,Cy5,,Unkn,,,24.0100254911714,24.0100254911714,0,NaN,NaN,NaN,0,58,
,D02,Cy5,,Unkn,,,23.2444433080969,23.2444433080969,0,NaN,NaN,NaN,0,58,
,D03,Cy5,,Unkn,,,23.7702204000438,23.7702204000438,0,NaN,NaN,NaN,0,58,
,D04,Cy5,,Unkn,,,23.6956533977643,23.6956533977643,0,NaN,NaN,NaN,0,58,
,D05,Cy5,,Unkn,,,23.2387300265263,23.2387300265263,0,NaN,NaN,NaN,0,58,
,D06,Cy5,,Unkn,,,23.7877571274639,23.7877571274639,0,NaN,NaN,NaN,0,58,
,D07,Cy5,,Unkn,,,23.4490275624554,23.4490275624554,0,NaN,NaN,NaN,0,58,
,D08,Cy5,,Unkn,,,24.0189707108181,24.0189707108181,0,NaN,NaN,NaN,0,58,
,D09,Cy5,,Unkn,,,21.3128536213699,21.3128536213699,0,NaN,NaN,NaN,0,58,
,D10,Cy5,,Unkn,,,22.9044408514698,22.9044408514698,0,NaN,NaN,NaN,0,58,
