Target Value of 0 = negative,
Target Value of 1 = positive,
Target Value of u = unclassified (Advanced Classification Mode),
,
Ch1Amplitude,1
9862.448,1
9049.614,1
9377.46,1
9741.827,1
9203.65,1
9466.768,1
9983.039,1
9649.646,1
8216.758,1
10180.43,1
9718.351,1
7818.734,1
8464.259,1
9702.729,1
9582.498,1
9571.29,1
4083.782,1
8598.938,1
8720.498,1
8595.806,1
8829.576,1
9560.439,1
9363.984,1
9334.823,1
9520.78,1
9005.284,1
9716.037,1
9927.227,1
9211.431,1
9150.401,1
9588.634,1
9628.209,1
9177,1
8626.974,1
8732.305,1
9077.257,1
8459.699,1
8953.711,1
8412.307,1
7572.914,1
8767.684,1
10060.52,1
9235.541,1
9079.556,1
9622.419,1
8686.417,1
8830.71,1
8471.295,1
9161.902,1
9650.573,1
9706.475,1
8883.211,1
9999.135,1
9062.07,1
9605.515,1
9249.785,1
8778.366,1
9246.286,1
9668.675,1
9264.443,1
8864.245,1
8596.303,1
9599.555,1
9922.899,1
8719.399,1
9690.598,1
8621.438,1
8928.867,1
9630.64,1
8551.391,1
6007.054,1
10161.55,1
8085.354,1
9655.872,1
10270.43,1
9501.754,1
614.9678,0
667.426,0
617.1431,0
667.201,0
651.1569,0
10056.39,1
10218.02,1
657.6565,0
9461.222,1
614.1051,0
642.0629,0
576.1516,0
639.273,0
9650.056,1
698.231,0
8023.9,1
622.3317,0
642.7549,0
619.0288,0
582.6606,0
599.9235,0
8732.227,1
550.5159,0
8258.357,1
617.7697,0
635.8705,0
8734.133,1
639.3102,0
654.7344,0
582.349,0
9263.006,1
610.6699,0
665.6978,0
611.1674,0
4315.674,1
677.7761,0
9000.479,1
606.9169,0
8948.636,1
656.7407,0
8586.374,1
9123.501,1
622.0981,0
647.7972,0
692.0165,0
598.9188,0
703.9681,0
620.907,0
599.1804,0
614.6704,0
648.3352,0
9208.396,1
8970.067,1
768.0508,0
7099.376,1
680.1881,0
9228.691,1
594.7408,0
9443.921,1
636.5419,0
602.3424,0
629.1291,0
627.1843,0
594.3906,0
596.4491,0
8759.727,1
625.5648,0
592.2346,0
9102.85,1
9287.536,1
9344.134,1
630.5137,0
9311.636,1
9589.042,1
670.7169,0
9878.683,1
10050.43,1
601.6752,0
675.3674,0
726.4003,0
641.8797,0
554.0443,0
9947.21,1
8967.157,1
9690.176,1
9480.523,1
8613.631,1
9515.789,1
630.2096,0
619.8953,0
638.4602,0
641.7189,0
682.6689,0
646.3704,0
10100.11,1
644.5176,0
597.1238,0
632.598,0
638.3273,0
678.2693,0
621.4362,0
619.0643,0
602.3157,0
642.2547,0
8640.364,1
641.8914,0
10156.91,1
571.8208,0
657.9873,0
631.4221,0
666.8138,0
639.3986,0
686.0747,0
698.2344,0
631.8172,0
628.4225,0
585.7726,0
639.7856,0
10500.43,1
656.8401,0
9231.566,1
8537.584,1
601.8513,0
9785.034,1
684.201,0
648.3773,0
8253.779,1
9087.868,1
7993.204,1
9692.359,1
8953.233,1
656.0386,0
642.261,0
679.2828,0
641.1815,0
650.316,0
586.5189,0
592.9122,0
591.5309,0
651.2343,0
589.1622,0
8048.657,1
546.837,0
565.3208,0
728.8634,0
632.3654,0
593.7856,0
9141.798,1
641.6334,0
602.3975,0
648.4639,0
10238.04,1
593.2911,0
638.382,0
653.0589,0
701.7334,0
631.0966,0
598.6167,0
601.6507,0
640.1707,0
9698.311,1
607.8928,0
708.0154,0
597.5005,0
660.9753,0
604.5616,0
621.0739,0
637.1794,0
611.5369,0
2228.169,0
565.8997,0
586.6509,0
664.4086,0
562.6104,0
689.3436,0
9387.374,1
640.0181,0
617.7177,0
8563.064,1
536.4077,0
683.0835,0
591.7886,0
640.1002,0
606.6069,0
9930.22,1
664.8984,0
8632.719,1
627.7761,0
568.4647,0
9464.541,1
687.6429,0
639.605,0
8205.283,1
669.8965,0
638.8286,0
8671.811,1
619.9525,0
650.622,0
8548.88,1
661.9075,0
659.2283,0
684.1249,0
652.2597,0
588.9119,0
9164.104,1
637.2747,0
595.7451,0
9719.08,1
9533.777,1
606.1849,0
669.04,0
9821.553,1
667.9676,0
614.2092,0
9232.569,1
650.1071,0
675.1172,0
9375.684,1
636.7682,0
10056.66,1
9880.071,1
647.3583,0
543.9741,0
8946.902,1
689.4871,0
734.6485,0
666.0706,0
733.7604,0
722.6559,0
629.0702,0
576.2219,0
583.9496,0
7897.879,1
604.2142,0
647.6326,0
641.0635,0
643.4777,0
9653.526,1
669.2007,0
9484.095,1
613.9581,0
9939.914,1
8432.645,1
693.8132,0
9622.369,1
581.5718,0
601.7461,0
544.3532,0
9456.03,1
9835.352,1
9742.753,1
668.6124,0
651.8522,0
648.9053,0
680.4279,0
606.8187,0
641.2205,0
656.9778,0
695.0422,0
636.6339,0
629.1967,0
9475.637,1
585.4033,0
631.7557,0
7817.165,1
543.7997,0
10021.09,1
592.2608,0
9204.511,1
555.3947,0
641.7078,0
698.6876,0
621.4207,0
9575.275,1
692.5319,0
607.9977,0
9235.814,1
593.6647,0
620.0656,0
578.6393,0
660.1355,0
573.4437,0
678.7958,0
586.2259,0
609.3429,0
633.2512,0
9006.792,1
674.7022,0
9719.202,1
603.6326,0
652.9599,0
596.3206,0
8588.257,1
8860.643,1
9655.269,1
579.6838,0
650.6248,0
8257.734,1
